10:235067
8:151268
15:421780
12:499793
7:135153
11:335835
9:188231
17:419582
20:391309
19:397745
6:201846
27:317602
16:450215
25:343503
14:455776
13:548705
32:160850
5:238193
18:403668
21:378980
24:342904
29:247395
2:29505
1:14156
3:53672
4:119553
33:142360
23:358358
22:368159
28:279679
31:181847
34:121320
30:210545
26:342461
36:76914
35:94479
0:435
44:26174
43:29161
38:58509
41:38327
40:44264
45:22098
37:67754
46:18963
39:50153
42:30716
60:1468
56:2988
54:5210
53:7155
52:7961
57:2273
51:8031
49:11012
59:1993
48:14391
58:1744
61:978
55:4155
62:804
65:505
64:708
47:15648
50:9124
63:693
67:616
69:250
68:424
70:221
71:269
66:455
72:298
73:147
74:12
