9:375586
11:672140
5:474280
8:302638
19:785032
6:401692
7:269674
12:997266
16:890404
15:834634
10:470096
14:904210
20:786422
17:832520
13:1093258
32:319278
25:692326
27:632074
18:796718
21:764994
29:499504
24:696446
3:106598
4:237800
1:28230
33:287168
2:58590
23:724658
22:737592
28:559270
31:362870
34:247326
30:424024
26:682836
36:153222
35:190170
0:770
44:55232
43:58644
38:120630
41:75464
40:90674
45:47812
46:40272
37:140546
39:103056
42:61134
60:2934
56:5990
54:10806
53:14416
52:15684
57:4542
51:16254
49:23016
59:3986
48:29354
58:3494
61:1956
55:8394
62:1610
65:1010
47:32264
64:1420
50:19314
63:1382
67:1232
68:848
69:500
70:442
71:538
66:910
72:596
73:294
74:24
