2018;2676
1998;114
2016;738
2009;1845
2017;1777
2014;2529
2012;1352
2006;2633
2015;1286
2011;871
2010;1396
2000;410
2008;2550
2013;973
2007;2659
2004;937
2001;585
2002;859
2003;607
1996;45
2005;1710
1997;81
1999;263
1993;9
1990;7
1992;5
1995;25
1991;8
1988;4
1994;10
1989;1
