2018;2676;2721
1998;114;117
2016;738;758
2009;1845;1893
2017;1777;1834
2014;2529;2552
2012;1352;1385
2006;2633;2696
2015;1286;1315
2011;871;887
2010;1396;1417
2000;410;415
2008;2550;2682
2013;973;986
2007;2659;2733
2004;937;946
2001;585;594
2002;859;868
2003;607;620
1996;45;47
2005;1710;1738
1997;81;85
1999;263;266
1993;9;9
1990;7;7
1992;5;5
1995;25;26
1991;8;8
1988;4;4
1994;10;10
1989;1;1
