CVE-2017-2918;2018-04-24
CVE-2014-6109;2018-04-20
CVE-2004-1063;2005-01-10
CVE-2017-8148;2017-11-22
CVE-2018-8173;2018-05-09
CVE-1999-0454;1999-01-01
CVE-2017-18205;2018-02-27
CVE-2018-7437;2018-02-23
CVE-2003-1245;2003-12-31
CVE-2018-10642;2018-05-02
CVE-2018-10174;2018-04-20
CVE-2018-1106;2018-04-23
CVE-1999-0515;1999-01-01
CVE-1999-0452;1999-01-01
CVE-2005-1147;2005-04-12
CVE-2018-0711;2018-04-30
CVE-2017-2840;2018-04-24
CVE-1999-0665;1999-01-01
CVE-2005-3003;2005-09-21
CVE-2018-6520;2018-02-02
CVE-2018-6374;2018-01-31
CVE-2017-8140;2017-11-22
CVE-2005-4061;2005-12-07
CVE-2017-17543;2018-04-26
CVE-2016-8730;2018-04-24
CVE-2018-0289;2018-05-17
CVE-2017-9654;2018-04-24
CVE-2005-3282;2005-10-23
CVE-2004-0361;2004-11-23
CVE-2017-14481;2018-05-09
CVE-2014-0881;2018-04-25
CVE-2018-0824;2018-05-09
CVE-2017-13681;2017-11-06
CVE-2018-3844;2018-04-26
CVE-2017-8783;2018-02-04
CVE-2017-2743;2018-01-23
CVE-2016-9599;2018-04-24
CVE-2017-17689;2018-05-16
CVE-2017-2737;2017-11-22
CVE-2004-2358;2004-12-31
CVE-2018-9981;2018-05-17
CVE-2012-3536;2018-02-27
CVE-2018-8160;2018-05-09
CVE-2018-5230;2018-05-14
CVE-2018-8120;2018-05-09
CVE-2017-15111;2018-01-20
CVE-2004-0524;2004-08-06
CVE-2014-1203;2017-10-24
CVE-2017-11307;2018-05-19
CVE-2004-2634;2004-12-31
CVE-2018-7439;2018-02-23
CVE-2018-10706;2018-05-10
CVE-2018-0946;2018-05-09
CVE-2018-1263;2018-05-15
CVE-2004-1397;2004-12-31
CVE-2004-1795;2004-12-31
CVE-2018-8145;2018-05-09
CVE-2018-10185;2018-04-17
CVE-2017-16609;2018-01-23
CVE-2018-10237;2018-04-26
CVE-2017-1000081;2017-07-17
CVE-2018-4841;2018-03-29
CVE-2017-11240;2018-05-19
CVE-2018-10327;2018-05-17
CVE-1999-0934;1999-12-15
CVE-2018-6822;2018-02-07
CVE-2018-6194;2018-01-30
CVE-2004-2527;2004-12-31
CVE-2018-10391;2018-04-26
CVE-2018-9969;2018-05-17
CVE-1999-0624;1999-01-01
CVE-2018-1025;2018-05-09
