labels,low,medium,high,total
307,0,8,2,10
308,1,14,9,24
309,1,15,10,26
310,1,12,9,22
311,2,17,12,31
312,2,5,5,12
313,1,9,15,25
314,0,16,2,18
315,2,16,8,26
316,0,9,10,19
317,0,9,5,14
318,5,8,7,20
319,0,18,10,28
320,0,5,2,7
321,1,8,3,12
322,4,12,5,21
323,0,10,9,19
324,0,8,9,17
325,0,6,2,8
326,0,15,5,20
327,2,0,5,7
328,2,5,4,11
329,0,5,15,20
330,1,12,2,15
331,2,7,7,16
332,1,13,9,23
333,1,10,6,17
334,0,12,3,15
335,1,13,10,24
336,2,8,3,13
337,4,6,13,23
338,5,13,5,23
339,4,10,7,21
340,0,16,5,21
341,1,9,7,17
342,0,16,5,21
343,5,7,4,16
344,2,18,11,31
345,3,4,7,14
346,2,4,3,9
347,1,8,8,17
348,0,9,13,22
349,2,12,5,19
350,1,25,4,30
351,0,2,6,8
352,1,10,5,16
353,2,7,3,12
354,1,5,3,9
355,2,11,6,19
356,0,10,7,17
357,2,4,5,11
358,3,7,6,16
359,1,21,9,31
360,0,8,6,14
361,3,5,7,15
362,2,11,10,23
363,0,3,6,9
364,6,13,8,27
365,0,10,6,16
366,1,19,10,30
367,0,11,7,18
368,1,11,0,12
369,0,4,4,8
370,3,8,6,17
371,0,7,7,14
372,0,1,2,3
373,1,3,2,6
374,0,9,5,14
375,1,1,1,3
376,0,5,0,5
377,4,16,2,22
378,1,5,2,8
379,1,5,6,12
380,0,2,4,6
381,1,8,3,12
382,0,4,1,5
383,1,9,3,13
384,2,7,1,10
385,2,9,1,12
386,0,3,6,9
387,3,6,3,12
388,0,1,6,7
389,0,3,3,6
390,2,4,1,7
391,2,5,1,8
392,1,8,3,12
393,0,2,0,2
394,1,6,5,12
395,0,5,2,7
396,1,6,5,12
397,0,2,7,9
398,3,6,9,18
399,1,4,0,5
400,1,13,5,19
401,0,4,1,5
402,0,3,0,3
403,3,0,1,4
404,1,1,2,4
405,2,4,4,10
406,0,3,4,7
407,1,1,0,2
408,0,1,2,3
409,0,1,2,3
