labels,low,medium,high,total
14,0.007368779049994331,0.0068478132537232875,0.006225816053179879,0.006658919447365023
21,0.013943997279220043,0.013560694226585032,0.009872011112213513,0.012220316160330548
1,0.11189207572837546,0.11005414157769569,0.1441115189999008,0.12286720897201778
0,0.4835052715111665,0.5100946212619542,0.4859609088203195,0.49895781454632654
6,0.51604126516268,0.5396616573057397,0.5168915567020538,0.5292734215040673
129,0.5166080943203718,0.540032721078109,0.5172140093263221,0.5296423367089075
4,0.5426822355741979,0.5691443606739868,0.5529814465720806,0.5609816833600797
20,0.5460832105203491,0.5723321358093407,0.556429209246949,0.5642834744433992
10,0.555719306201111,0.5844591745517719,0.5650362139101102,0.574899009462675
32,0.5578732570003401,0.5860446288518949,0.5667476932235341,0.5765775736446977
7,0.5791860333295544,0.6079036583514649,0.5906339914674075,0.599145961300795
13,0.5878018365264709,0.6141442763413112,0.5949250917749777,0.6048549240956966
18,0.5905226164833919,0.6175344498979575,0.598868935410259,0.6083965100621622
1356,0.5905226164833919,0.6175513164330652,0.598868935410259,0.6084057329422832
79,0.591769640630314,0.6182428443724806,0.599885901379105,0.6092634607935367
96,0.5927899331141594,0.618984971917219,0.6003819823395178,0.6099367310423699
607,0.5927899331141594,0.6190187049874344,0.6003819823395178,0.6099551768026119
5,0.6168234894002947,0.6463930914672199,0.6349092171842444,0.6397174109530924
123,0.6171635868949099,0.6467810217746969,0.6353060819525747,0.6401047719181746
3,0.647205532252579,0.6816610163774056,0.6801518007738863,0.678296718499253
1333,0.647205532252579,0.6816778829125133,0.6801518007738863,0.678305941379374
141,0.6475456297471942,0.6817959486582671,0.6805238614941959,0.6785365133823991
54,0.6496995805464233,0.6831452714668825,0.6817144557991864,0.6798922767601867
58,0.6507198730302687,0.6842584627839903,0.6825081853358468,0.6808791249331341
36,0.6525337263348827,0.6861643812511595,0.6843684889373945,0.682760592477819
47,0.653554018818728,0.6870583076118673,0.6851870225220756,0.6836367660893143
41,0.6548010429656501,0.6882389650694057,0.6862039884909217,0.6847619574640769
34,0.657181725427956,0.6903810150280828,0.6878658597083044,0.6867448766900928
39,0.6584287495748782,0.6921182681441751,0.6891308661573569,0.6882666519100584
45,0.6609227978687223,0.6934169913474675,0.6903214604623474,0.6896224152878461
42,0.6634168461625666,0.6945301826645752,0.6914376426232761,0.6908490583439396
16,0.6702187960548691,0.6999274738990369,0.7003670999107054,0.6976739896334827
64,0.6719192835279447,0.7009057329352831,0.7012600456394483,0.6986792835666722
1336,0.6719192835279447,0.7009225994703908,0.7012600456394483,0.6986885064467933
1337,0.6719192835279447,0.7009225994703908,0.7013096537354896,0.6987069522070352
217,0.6722593810225598,0.7010912648214678,0.7015080861196548,0.6989006326895763
29,0.6746400634848657,0.7035369124120832,0.7032939775771406,0.7010956781583753
333,0.674753429316404,0.7037055777631601,0.7034428018652644,0.7012524671204323
91,0.6760004534633262,0.7045489045185448,0.7042365314019248,0.7021101949716858
88,0.6769073801156331,0.7061174922835601,0.7048566326024407,0.7032722778669322
