labels,low,medium,high,total
14,0.37161319578279106,0.4000404796842585,0.3418493898204187,0.37609060557430873
21,0.4695612742319465,0.49653392703536914,0.476088897708106,0.486737498385996
1,0.5491440879718853,0.5688070299718329,0.5633247345966862,0.5651688709350156
0,0.5816800816233987,0.6036870245745416,0.6081704534179978,0.6033608175160939
6,0.6117220269810679,0.6332540606183272,0.6439378906637563,0.6347001641672662
129,0.637796168234894,0.662365700214205,0.678465125508483,0.6650157711250069
4,0.6618297245210294,0.6897400866939905,0.7093957733902173,0.6947780052754874
20,0.6831425008502438,0.7115991161935603,0.7332820716340906,0.7173463929315846
10,0.695045913161773,0.7246032147615915,0.746031352316698,0.7301661962997805
32,0.7046820088425348,0.7367302535040227,0.7579620994146244,0.7407817313190563
7,0.7139780070286815,0.746428511190946,0.7669907728941363,0.7512773688967591
13,0.722593810225598,0.754777446069254,0.7759202301815656,0.759836201649051
18,0.7304160526017458,0.7620637892357773,0.7845272348447266,0.7666611329385941
1356,0.7377848316517401,0.7689116024895006,0.7907530508979065,0.7733200523859591
79,0.7445867815440427,0.7756244834623623,0.7965075900386943,0.7799144116724771
96,0.7513887314363451,0.7818651014522087,0.8020388927472963,0.7856233744673786
607,0.7579639496655708,0.7872623926866704,0.8063299930548665,0.7911847711803442
5,0.7623852170955674,0.792001889051932,0.810397856930251,0.7962758010071385
123,0.7665797528624873,0.7953920626085783,0.8143417005655323,0.7998173869736042
3,0.7699807278086385,0.7987822361652246,0.817987895624566,0.8031284009370446
1333,0.7732683369232514,0.8021386766516555,0.8214356582994344,0.8064301920203641
141,0.7764425802063258,0.8053264517870093,0.8247097926381586,0.8094829653404165
54,0.7796168234894003,0.8080756970095633,0.8278102986407382,0.8123143895375647
58,0.7827910667724748,0.8107912091619018,0.8305635479710288,0.8151365908545921
36,0.7855118467293958,0.8133211894280558,0.8332423851572577,0.8177558888089572
47,0.7881192608547783,0.8157668370186713,0.8357723980553626,0.8201077232398133
41,0.7906133091486226,0.8182124846092867,0.8381783907133644,0.8223027687086123
34,0.7931073574424669,0.8203545345679637,0.840187518603036,0.8244885912972904
39,0.7956014057363111,0.8224291183862099,0.842171842444687,0.8265452935642742
45,0.7979820881986169,0.8243350368533792,0.8441065581902967,0.8285282127902901
42,0.8003627706609228,0.8261903557152254,0.8459668617918444,0.830437348975338
16,0.8027434531232287,0.8279613419015331,0.8477527532493303,0.8323188165200228
64,0.8051241355855345,0.8296985950176256,0.8495386447068162,0.8340711637430137
1336,0.807391452216302,0.8314021150635025,0.851324536164302,0.8358142880858834
1337,0.8096587688470694,0.8330719020391641,0.853036015477726,0.8375112980281483
217,0.8118127196462986,0.8347416890148257,0.8547226907431292,0.839189862210171
29,0.8139666704455277,0.8363777429202719,0.8563845619605119,0.8408684263921937
333,0.8161206212447568,0.8380137968257181,0.8579968250818534,0.8425008761736115
91,0.8182745720439859,0.8396161176609489,0.8595098720111122,0.8441056573146662
88,0.8204285228432151,0.841201571961072,0.8610229189403711,0.8456551011749949
2,0.8224691078109058,0.8427701597260875,0.8625111618216093,0.8471768763949606
56,0.8245096927785965,0.8443218809559953,0.8639746006548269,0.8486894287348054
1421,0.8263235460832106,0.8458061360454722,0.8653636273439825,0.850155866674045
24,0.8281373993878245,0.8472566580647337,0.8667526540331382,0.8515392986921956
65,0.8299512526924385,0.8486228474084568,0.8680176604821906,0.8528950620699832
12,0.8317651059970524,0.8499721702170723,0.8692826669312432,0.8542508254477709
145,0.833465593470128,0.8513214930256877,0.8704732612362338,0.8555696973050745
19,0.8351660809432038,0.8526370827640878,0.8716638555412243,0.856842454761773
22,0.8368665684162794,0.8539358059673802,0.8728544498462149,0.8581059893383506
1395,0.838567055889355,0.8552345291706724,0.8740450441512054,0.8593603010348071
75,0.8402675433624306,0.8564995193037495,0.875235638456196,0.8606053898511428
203,0.8419680308355062,0.8577476429017187,0.876401428713166,0.8618320329072363
941,0.8435551524770434,0.8589788999645803,0.8775424149221153,0.8630586759633299
1240,0.8451422741185807,0.8601932904923342,0.8786834011310646,0.8642760961393023
1238,0.8467293957601179,0.8613739479498727,0.8797995832919933,0.86544740191467
1239,0.8483165174016551,0.8625208723371958,0.8808909614049013,0.8666094848099164
46,0.849790273211654,0.8636677967245189,0.8819575354697887,0.867771567705163
332,0.8512640290216529,0.8647978545767343,0.883024109534676,0.8689244277202884
1470,0.8527377848316517,0.865911045893842,0.8840906835995634,0.870049619095051
17,0.8542115406416506,0.8670242372109498,0.8851572576644509,0.8711748104698135
80,0.8556852964516495,0.8681374285280575,0.886174223633297,0.872253887443971
149,0.8570456864301099,0.8692506198451652,0.887191189602143,0.8733145186578865
175,0.8584060764085705,0.8703469446271652,0.8881585474749479,0.874375149871802
53,0.8597664663870309,0.8714095363389499,0.8891259053477527,0.8754173353254754
272,0.8611268563654915,0.8724721280507345,0.8900932632205576,0.8764318521387859
9,0.8623738805124136,0.8735009866923038,0.8910358170453418,0.8774371460719753
8,0.8636209046593357,0.874529845333873,0.8919535668221054,0.8784239942449228
49,0.8648679288062578,0.8755587039754423,0.8928465125508483,0.8794108424178703
166,0.8661149529531799,0.8765875626170115,0.8937146542315706,0.8803884677106967
146,0.867361977100102,0.8775995547234732,0.8945579918642722,0.8813660930035231
475,0.8686090012470241,0.8786115468299347,0.8954013294969739,0.8823344954162285
72,0.8698560253939462,0.8796235389363963,0.8962446671296755,0.883302897828934
1259,0.8711030495408684,0.8806355310428579,0.8970880047623773,0.8842713002416395
1286,0.8723500736877905,0.8816306566142117,0.8979313423950789,0.8852397026543449
176,0.8735970978347126,0.882608915650458,0.8987746800277805,0.8861988821869293
248,0.8748441219816347,0.8835871746867041,0.8996180176604822,0.8871488388393928
156,0.8759777802970184,0.8845317006527349,0.9004365512451632,0.8880803497316142
