labels,low,medium,high,total
-31,0.05528850208301708,0.4000404796842585,0.23245458685422254,0.37609060557430873
-13,0.06986118841606369,0.49653392703536914,0.32373627485705614,0.486737498385996
-10,0.08170149606166405,0.5688070299718329,0.38305587883081177,0.5651688709350156
-9,0.08654219163757189,0.6036870245745416,0.4135505743055204,0.6033608175160939
-7,0.09101182344111049,0.6332540606183272,0.4378721179308135,0.6347001641672662
-6,0.09489112651587985,0.662365700214205,0.4613503348007219,0.6650157711250069
-2,0.09846683195871073,0.6897400866939905,0.48238290408001483,0.6947780052754874
-1,0.10163774055895697,0.7115991161935603,0.49862537738872303,0.7173463929315846
0,0.10340872674526472,0.7246032147615915,0.5072947764340772,0.7301661962997805
1,0.10484238222941861,0.7367302535040227,0.5154075798208774,0.7407817313190563
2,0.10622543810824943,0.746428511190946,0.5215469986000776,0.7512773688967591
3,0.10750729477643407,0.754777446069254,0.5276189512388471,0.759836201649051
4,0.10867108569886488,0.7620637892357773,0.5334716389212164,0.7666611329385941
5,0.10976741048086491,0.7689116024895006,0.5377051392332474,0.7733200523859591
6,0.11077940258732649,0.7756244834623623,0.5416181753782321,0.7799144116724771
7,0.11179139469378806,0.7818651014522087,0.5453794127072475,0.7856233744673786
8,0.11276965373003424,0.7872623926866704,0.5482973232808784,0.7911847711803442
9,0.11342744859923426,0.792001889051932,0.55106343503854,0.7962758010071385
10,0.1140515103982189,0.7953920626085783,0.5537452141206632,0.7998173869736042
11,0.11455750645144967,0.7987822361652246,0.556224594781494,0.8031284009370446
12,0.11504663596957278,0.8021386766516555,0.5585690431614634,0.8064301920203641
13,0.11551889895258817,0.8053264517870093,0.5607954257956788,0.8094829653404165
14,0.11599116193560356,0.8080756970095633,0.5629037426841405,0.8123143895375647
15,0.11646342491861897,0.8107912091619018,0.5647759280810943,0.8151365908545921
16,0.1168682217612036,0.8133211894280558,0.5665975138727252,0.8177558888089572
17,0.11725615206868054,0.8157668370186713,0.5683179004537098,0.8201077232398133
18,0.11762721584104978,0.8182124846092867,0.569953954359156,0.8223027687086123
19,0.11799827961341902,0.8203545345679637,0.5713201437028791,0.8244885912972904
20,0.11836934338578826,0.8224291183862099,0.5726694665114945,0.8265452935642742
