CWE-Desc;First Seen;Last Seen;CWE-NVD;FirstSeen;LastSeen
CWE-787,CWE-190,CWE-119;2016;2017;;;
CWE-787,CWE-20;2016;2018;;;
CWE-787,CWE-200;2018;2018;;;
CWE-787,CWE-264;2016;2017;;;
CWE-787,CWE-416;2018;2018;;;
CWE-79;2000;2019;;;
CWE-79,CWE-119;2007;2007;;;
CWE-79,CWE-16;2013;2013;;;
CWE-79,CWE-20;2018;2018;;;
CWE-79,CWE-200;2007;2016;;;
CWE-79,CWE-254;2016;2016;;;
CWE-79,CWE-264;2013;2018;;;
CWE-79,CWE-362;2007;2007;;;
CWE-79,CWE-89;2016;2016;;;
CWE-79,CWE-91;2017;2017;;;
CWE-79,CWE-94;2007;2012;;;
CWE-79,NVD-CWE-noinfo;2005;2008;;;
CWE-798;2007;2019;;;
CWE-798,CWE-255;2016;2016;;;
CWE-80;2014;2014;;;
CWE-80,CWE-352;2018;2018;;;
CWE-807,CWE-20;2019;2019;;;
CWE-822,CWE-476;2017;2018;;;
CWE-823,CWE-119;2017;2017;;;
CWE-824;2010;2019;;;
CWE-829;2018;2018;;;
CWE-833;2007;2007;;;
CWE-834;2018;2018;;;
CWE-834,CWE-400;2018;2018;;;
CWE-835;2018;2019;;;
CWE-836,CWE-255;2018;2018;;;
CWE-836,CWE-798;2017;2017;;;
CWE-862;2018;2019;;;
CWE-862,;2018;2018;;;
CWE-862,CWE-285;2017;2018;;;
CWE-862,NVD-CWE-noinfo;2018;2019;;;
CWE-863;2018;2019;;;
CWE-88;2017;2019;;;
CWE-89;2002;2019;;;
CWE-89,CWE-16;2006;2006;;;
CWE-89,CWE-20;2007;2008;;;
CWE-89,CWE-200;2015;2016;;;
CWE-89,CWE-352;2014;2014;;;
CWE-89,NVD-CWE-noinfo;2006;2011;;;
CWE-90;2017;2018;;;
CWE-909;2018;2018;;;
CWE-91;2014;2018;;;
CWE-91,CWE-16;2013;2013;;;
CWE-913;2017;2017;;;
CWE-916;2018;2018;;;
CWE-918;2013;2019;;;
CWE-918,CWE-20;2015;2015;;;
CWE-918,CWE-264;2013;2013;;;
CWE-918,CWE-285;2016;2016;;;
CWE-918,CWE-94;2014;2014;;;
CWE-918,NVD-CWE-noinfo;2014;2014;;;
CWE-924;2018;2018;;;
CWE-93;2007;2019;;;
CWE-93,CWE-113;2016;2016;;;
CWE-94;1996;2019;;;
CWE-94,CWE-16;2003;2003;;;
CWE-94,CWE-189;2003;2003;;;
CWE-94,CWE-255;2009;2009;;;
CWE-94,CWE-264;2006;2008;;;
CWE-94,CWE-284;2016;2017;;;
CWE-94,CWE-362;2008;2008;;;
CWE-94,NVD-CWE-noinfo;2006;2012;;;
CWE-99;2017;2017;;;
NVD-CWE-noinfo;1994;2019;;;
NVD-CWE-noinfo,CWE-134;2007;2007;;;
NVD-CWE-noinfo,CWE-16;2003;2008;;;
NVD-CWE-noinfo,CWE-189;2007;2008;;;
NVD-CWE-noinfo,CWE-200;1997;2013;;;
NVD-CWE-noinfo,CWE-255;2008;2009;;;
NVD-CWE-noinfo,CWE-310;2006;2009;;;
NVD-CWE-noinfo,CWE-399;2007;2010;;;
NVD-CWE-noinfo,CWE-59;2008;2008;;;
NVD-CWE-Other,CWE-264;2015;2015;;;
NVD-CWE-Other,CWE-399;2016;2016;;;
