14;729
21;608
1;12173
0;41665
6;3296
129;40
4;3422
20;363
10;1159
32;187
7;2457
13;627
18;392
1356;1
79;93
96;75
5;3240
123;43
3;4169
1333;1
33;176
54;148
58;104
36;204
47;102
41;125
34;220
39;189
45;152
42;134
16;743
64;110
1336;1
1337;2
217;21
29;240
61;108
91;92
88;125
2;8558
56;189
1421;1
24;169
65;77
12;723
145;28
19;335
22;314
1395;2
75;67
203;33
941;11
1240;2
1238;1
1239;2
46;124
332;23
1470;1
17;376
80;87
175;59
53;140
272;24
9;1146
8;1399
49;169
166;40
146;52
50;134
72;87
1259;3
1286;1
176;20
248;14
156;40
59;95
188;77
40;135
15;564
453;7
86;55
223;17
144;67
1281;1
48;127
136;37
28;290
60;118
974;1
11;942
349;19
288;34
365;16
312;11
278;45
325;6
128;54
277;34
327;7
355;17
319;28
323;18
370;17
307;10
374;14
354;9
126;61
66;102
316;21
358;17
347;17
262;20
362;22
1385;1
193;19
1404;2
1307;1
55;112
1553;3
130;52
1496;2
38;194
1504;1
1133;1
93;56
31;154
63;95
314;12
527;2
44;182
294;38
387;12
1463;2
516;5
78;108
1549;2
1433;2
242;13
35;193
1517;1
99;105
263;24
338;23
23;257
258;21
1109;1
405;9
1321;1
1492;3
282;12
216;25
352;17
239;30
1514;2
1509;1
98;81
482;9
196;25
111;77
106;56
220;11
30;226
1319;1
37;140
1499;1
616;1
1480;1
26;213
524;2
27;248
159;42
164;26
189;26
525;4
207;19
269;38
233;35
240;30
167;16
359;31
371;14
290;16
1432;2
1267;1
43;162
1325;2
1440;3
231;44
177;16
344;31
70;127
197;24
1383;1
1294;1
163;24
848;6
1181;3
83;73
1299;1
115;78
392;12
103;45
1318;1
104;55
1224;1
90;116
1371;1
117;48
68;105
251;17
995;2
259;24
446;6
1215;4
200;28
69;178
204;19
1094;1
1197;2
286;37
421;3
1096;1
1093;3
121;34
1355;3
1317;1
186;26
25;311
81;91
85;79
105;57
173;28
718;3
1345;1
108;58
1407;1
107;81
147;54
1362;1
1479;1
57;116
1161;2
141;24
160;38
811;2
51;138
1295;1
963;3
1340;1
1263;1
1273;13
1289;1
1002;1
996;3
1346;1
1323;1
1300;2
1301;3
82;97
77;128
52;102
1168;1
967;6
887;2
1237;2
1303;2
138;39
1228;1
1232;1
931;5
874;1
903;1
124;21
230;31
875;1
1157;1
786;2
755;7
299;18
1220;1
1194;5
1254;1
1249;1
87;105
1087;1
1074;2
820;9
1100;2
187;22
919;2
812;10
182;38
161;38
253;56
218;19
1116;1
140;46
884;2
1143;3
62;113
249;17
143;22
973;2
158;39
942;3
351;7
1379;1
927;5
949;4
917;5
285;17
498;9
796;2
455;7
247;17
198;27
1081;1
1079;1
102;59
71;89
1173;1
1172;1
897;2
913;1
736;5
1148;1
134;41
116;46
906;5
960;2
951;8
1163;2
894;2
118;81
785;5
1226;1
932;1
830;5
886;3
862;4
74;108
236;25
208;22
243;12
928;3
922;1
199;30
805;3
930;2
860;3
206;14
943;5
1185;1
283;15
411;7
1069;1
133;52
125;53
856;1
95;89
885;1
729;2
945;3
1041;2
1112;3
968;5
1034;1
1048;3
969;1
1125;3
832;1
770;13
590;4
1032;2
946;2
778;7
228;28
741;4
431;5
978;4
921;7
109;49
1329;1
879;3
496;2
255;18
256;37
172;19
313;24
517;6
270;20
330;15
540;2
395;7
1038;1
264;10
787;4
827;27
426;8
302;13
819;9
1145;1
1018;1
1211;1
712;2
209;23
807;3
893;2
599;3
880;1
303;28
888;1
532;6
528;3
94;95
112;67
635;3
180;18
1190;1
567;7
1117;1
213;16
2646;1
227;25
491;2
127;58
119;111
735;9
538;3
215;8
478;4
424;13
132;52
631;1
465;2
157;33
1159;1
751;3
901;1
76;108
809;2
709;2
155;43
390;8
454;5
450;7
851;2
443;6
135;45
110;64
225;39
297;12
142;51
1108;1
67;145
1044;3
417;9
422;11
408;3
402;3
981;1
120;57
1009;1
331;16
977;2
418;1
475;4
268;22
2372;1
915;7
376;5
1078;1
364;26
372;3
620;4
640;3
964;2
398;15
618;1
328;11
205;27
345;14
97;61
2301;2
814;4
309;29
400;19
322;21
924;1
449;5
219;23
279;32
295;28
789;2
2377;1
570;2
469;1
918;1
966;2
1073;2
904;2
149;31
662;3
900;2
486;14
162;26
881;1
896;7
275;31
274;22
649;5
953;4
952;11
561;5
406;9
902;2
938;2
396;13
92;82
859;3
2475;1
1198;2
614;4
864;5
933;2
273;50
600;7
1926;1
497;3
246;37
89;140
320;7
221;19
211;29
210;19
388;7
589;3
1015;1
833;3
834;4
1091;3
1090;1
723;3
84;88
845;1
237;21
212;15
238;28
853;3
266;25
413;4
476;6
440;10
2163;2
73;95
560;5
564;3
747;1
861;5
1169;1
428;5
267;39
226;21
195;29
544;4
506;7
788;5
154;41
341;16
783;1
430;4
148;22
1036;2
1838;1
423;5
1121;1
877;7
937;1
114;62
481;7
801;4
375;3
184;17
541;1
271;28
245;24
464;5
512;7
2074;1
429;4
1590;1
296;12
336;13
113;51
280;29
276;28
311;31
315;26
304;10
301;18
261;20
250;42
289;31
317;13
310;22
626;7
298;14
368;12
380;6
433;2
543;6
435;3
447;4
910;4
752;2
965;1
1664;1
656;13
1722;2
2916;1
179;33
1400;1
1511;1
507;4
1582;1
183;40
363;9
1767;1
100;46
1703;5
131;34
2191;4
1978;1
168;27
1391;1
335;24
739;3
738;4
587;5
101;64
825;2
468;11
170;27
329;20
350;30
2641;1
780;5
185;30
165;18
2494;1
550;2
1113;1
575;2
673;2
348;22
222;9
293;19
457;7
153;30
629;6
201;21
202;18
1607;1
622;4
644;8
260;10
254;11
308;25
281;20
284;13
300;7
334;15
366;29
824;5
385;12
369;9
346;9
373;6
394;13
397;9
401;5
793;4
389;6
794;3
381;12
386;10
382;5
383;7
420;4
379;12
998;1
489;2
484;6
508;3
490;9
483;6
487;3
501;4
479;3
485;5
509;5
493;1
511;6
504;8
668;3
500;1
495;5
537;1
519;7
513;7
522;12
514;4
523;4
529;4
505;2
584;1
558;2
554;1
547;6
548;3
596;4
588;3
583;3
576;3
624;3
1621;1
1608;1
655;2
914;4
1422;1
692;6
1283;1
843;35
697;3
701;1
694;3
690;24
715;4
714;2
732;3
802;1
776;2
775;2
954;3
1369;1
1527;1
1264;1
728;4
2456;1
1895;1
1751;1
2448;1
2478;1
194;14
318;19
229;9
367;17
412;5
419;8
720;2
823;1
1188;1
152;30
122;41
427;12
257;16
1636;1
292;10
360;14
1205;2
1773;1
456;4
434;4
241;28
192;24
190;24
1120;1
340;21
337;23
1082;1
555;2
178;20
437;6
252;21
139;78
425;4
573;2
474;2
470;4
463;3
461;4
244;39
265;10
171;36
191;28
377;22
339;22
321;12
287;33
416;2
232;44
235;18
234;26
169;41
1574;1
803;3
1382;1
3359;1
4034;1
174;21
533;1
559;5
214;16
150;26
151;33
724;10
757;4
1708;1
813;3
403;4
760;1
754;2
510;3
627;2
2197;1
687;6
979;1
324;16
2013;1
2096;1
2204;1
876;5
719;8
711;2
994;2
224;29
704;2
1834;1
681;5
753;5
831;2
795;1
181;12
976;1
742;5
1147;1
772;3
726;4
671;3
1212;1
935;2
1010;1
680;3
2158;1
679;3
771;3
393;3
499;3
1377;3
663;2
661;1
790;3
691;2
1882;2
1875;3
391;8
1844;5
137;34
959;2
1616;1
868;1
557;2
674;1
702;2
667;1
665;1
1975;1
1702;1
494;1
647;6
677;1
698;2
699;1
890;5
684;3
1000;2
999;1
442;1
595;1
438;3
361;15
612;3
611;7
615;4
613;14
727;4
2121;1
2117;4
950;1
1442;1
1393;1
1707;1
1932;2
1689;1
1913;1
480;2
641;3
1020;1
608;2
2922;1
459;7
356;17
409;4
756;1
410;2
357;9
399;5
458;11
378;6
546;6
342;21
441;5
594;2
643;2
333;16
638;2
414;5
326;20
343;16
291;14
472;2
552;2
305;6
306;6
384;9
705;8
467;1
