2014;7614;7928
2015;7163;6494
2018;14450;15113
2017;12862;14646
2016;7729;6449
2013;5433;5187
2012;5272;5288
2011;4184;4150
2010;4806;4639
2009;4886;5732
2005;4768;4932
2008;6677;5632
2007;6463;6516
2004;2582;2451
2003;1436;1527
2002;2300;2156
2006;6774;6608
2001;1555;1677
2000;1166;1020
1999;904;894
1998;253;246
1997;254;252
1996;80;75
1995;25;25
1988;3;2
1990;12;11
1994;24;25
1992;13;13
1993;13;13
1991;16;15
1989;2;3
