adobe:3:photoshop_cs5.5:photoshop_cc
adobe:1:photoshop_cs5.5:photoshop_cs5
adobe:1:photoshop_cs5.5:photoshop_cs5.1
adobe:2:photoshop_cs5.5:photoshop_cs6
adobe:2:photoshop_cs5.5:photoshop_cs4
adobe:3:flash_cs3:flash
adobe:1:flash_cs3:flash_cs4
adobe:2:flash_cs3:flash_cs5.5
adobe:2:photoshop_cc:photoshop_cs5
adobe:3:photoshop_cc:photoshop_cs5.1
adobe:2:photoshop_cc:photoshop
adobe:2:photoshop_cc:photoshop_cs6
adobe:2:photoshop_cc:photoshop_cs4
adobe:3:framemaker:pagemaker
adobe:1:lifecycle:livecycle
adobe:3:indesign_cs4:indesign
adobe:1:indesign_cs4:indesign_cs3
adobe:3:livecycle_designer:livecycle_designer_es2
adobe:2:reader_xi:reader
adobe:3:indesign:indesign_cs3
adobe:2:bridge:bridge_cc
adobe:2:acrobat_reader_dc:acrobat_reader
adobe:1:device_central_cs4:device_central_cs5
adobe:3:adobe_air:adobe_air_sdk
adobe:1:photoshop_cs6:photoshop_cs5
adobe:2:photoshop_cs6:photoshop_cs5.1
adobe:3:photoshop_cs6:photoshop
adobe:1:photoshop_cs6:photoshop_cs4
adobe:3:air_sdk:air
adobe:0:air_sdk_\\&_compiler:air_sdk_&_compiler
adobe:3:air_sdk_\\&_compiler:air_sdk_and_compiler
adobe:1:lifecycle_data_services:livecycle_data_services
adobe:3:flash:flex
adobe:3:flash:flash_cs4
adobe:2:flash_cs5.5:flash_cs4
adobe:3:photoshop:photoshop_cs5
adobe:3:photoshop:photoshop_cs4
adobe:1:flash_media_server:flash_media_server_2
adobe:2:acrobat_xi:acrobat
adobe:2:acrobat_xi:acrobat_dc
adobe:2:acrobat_xi:acrobat_3d
adobe:1:photoshop_cs5:photoshop_cs5.1
adobe:1:photoshop_cs5:photoshop_cs4
adobe:3:air_sdk_&_compiler:air_sdk_and_compiler
adobe:3:flex:flex_sdk
adobe:3:flash_player:flash_player_esr
adobe:2:acrobat:acrobat_dc
adobe:2:acrobat:acrobat_3d
adobe:2:photoshop_cs5.1:photoshop_cs4
adobe:2:acrobat_dc:acrobat_3d
mozilla:3:bugzilla:mozilla
mozilla:2:firefox_esr:firefox_os
mozilla:3:firefox_esr:firefox
mozilla:0:firefoxos:firefox_os
mozilla:2:firefoxos:firefox
mozilla:2:firefoxos:firefox_esr
mozilla:2:firefox:firefox_os
mozilla:3:thunderbird_esr:thunderbird
mozilla:1:geckb:gecko
nodejs:0:nodejs:node.js
franciscoburzi:2:php-nuke:php-nuke_ev
sun:1:fire_x2200_m2:fire_x2100_m2
sun:3:seam:sparc
sun:3:seam:scapp
sun:3:seam:sdk
sun:1:fire_x4150_server:fire_x4450_server
sun:2:fire_x4150_server:fire_x4600_server
sun:2:fire_x4150_server:fire_x4200_server
sun:3:fire_x4150_server:fire_x4100m2_server
sun:1:fire_x4150_server:fire_x4250_server
sun:2:fire_x4150_server:fire_x4540_server
sun:2:fire_x4150_server:fire_x4440_server
sun:2:fire_x4150_server:fire_x4500_server
sun:1:fire_x4150_server:fire_x4100_server
sun:2:fire_x4150_server:fire_x4240_server
sun:1:fire_x4150_server:fire_x4140_server
