NVD-CWE-Other;24517;8310;11559;4563;85
CWE-119;11234;3004;7103;1114;13
CWE-264;6351;833;3593;1872;53
CWE-189;1364;316;818;230;0
CWE-200;5326;127;1863;3114;221
CWE-20;6069;770;3040;2229;29
CWE-310;2361;91;1874;383;13
CWE-134;200;73;104;23;0
CWE-94;2216;874;1267;75;0
CWE-352;1887;15;1655;214;3
CWE-79;9963;3;50;9908;2
CWE-119,CWE-189;25;8;17;0;0
NVD-CWE-noinfo;7460;1663;2200;3469;128
CWE-362;492;11;208;272;1
CWE-89;5187;4092;1023;71;1
CWE-119,CWE-20,CWE-399;1;0;1;0;0
CWE-22;2498;435;1533;514;8
CWE-399;3133;346;1746;1037;4
CWE-287;1376;552;586;232;6
CWE-19;284;37;154;92;1
CWE-835;61;0;22;39;0
CWE-512;7;1;6;0;0
CWE-476;984;89;398;492;3
CWE-93;35;1;4;27;3
NVD-CWE-noinfo,CWE-264;74;30;33;11;0
CWE-59;473;8;247;215;3
CWE-255;790;254;330;202;4
CWE-16;251;49;120;81;1
CWE-434;319;123;174;20;2
CWE-20,CWE-114;1;1;0;0;0
CWE-114;1;1;0;0;0
NVD-CWE-noinfo,CWE-352;2;1;1;0;0
CWE-119,CWE-79;1;0;0;1;0
CWE-79,CWE-362;1;0;0;1;0
CWE-512,CWE-119;4;2;2;0;0
CWE-134,NVD-CWE-noinfo;1;1;0;0;0
CWE-20,CWE-399;33;0;15;18;0
CWE-119,NVD-CWE-noinfo;26;9;12;5;0
CWE-119,CWE-20;41;12;23;6;0
CWE-79,CWE-200;3;0;0;2;1
CWE-119,CWE-94;2;0;1;1;0
NVD-CWE-noinfo,CWE-399;41;8;16;17;0
CWE-119,CWE-399;12;2;5;5;0
CWE-16,CWE-59;2;0;0;2;0
CWE-20,NVD-CWE-noinfo;37;8;11;18;0
CWE-399,CWE-189;6;0;3;3;0
CWE-20,CWE-264;24;1;15;7;1
CWE-20,CWE-89;4;4;0;0;0
CWE-78;520;173;327;20;0
CWE-119,CWE-20,CWE-189;2;1;0;1;0
CWE-119,CWE-264;18;0;16;2;0
CWE-22,CWE-264;3;1;1;1;0
CWE-119,CWE-114;2;2;0;0;0
CWE-94,CWE-264;3;1;2;0;0
CWE-22,CWE-200;9;1;5;3;0
CWE-200,CWE-310,CWE-255;1;0;0;1;0
CWE-200,CWE-264;27;1;9;17;0
CWE-22,CWE-287;1;1;0;0;0
CWE-20,CWE-94;11;4;7;0;0
CWE-310,CWE-255;4;0;2;2;0
NVD-CWE-noinfo,CWE-94;38;15;23;0;0
CWE-184;31;4;16;11;0
CWE-200,CWE-310;26;1;11;14;0
CWE-79,CWE-94;2;0;1;1;0
CWE-22,CWE-94;3;1;2;0;0
CWE-16,CWE-264;7;1;5;1;0
CWE-16,CWE-20;2;0;1;1;0
CWE-16,CWE-200;3;0;1;2;0
CWE-119,CWE-20,NVD-CWE-noinfo;1;0;1;0;0
CWE-287,CWE-264;2;1;1;0;0
CWE-287,CWE-255,CWE-264;1;1;0;0;0
CWE-16,NVD-CWE-noinfo;7;1;1;5;0
CWE-22,NVD-CWE-noinfo;6;3;2;1;0
CWE-94,CWE-507;4;3;1;0;0
NVD-CWE-noinfo,CWE-189;6;4;0;2;0
CWE-200,CWE-399;6;2;3;1;0
